speaker,L1,word,wav_path,start,end
AB,ru,cache cache,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp14.wav,1.04,1.89189
AB,ru,cache cache,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp26.wav,1.15923,1.96423
AB,ru,cache cache,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp3.wav,1.42,2.39
AB,ru,cache cache,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp41.wav,0.72,1.58132
AB,ru,cache cache,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp58.wav,0.95114,1.74317
AB,ru,cache cache,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp67.wav,0.64517,1.40047
AB,ru,divan,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp20.wav,1.13855,1.6821
AB,ru,divan,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp29.wav,0.97706,1.52
AB,ru,divan,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp45.wav,0.78,1.27154
AB,ru,divan,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp5.wav,1.5369,2.07752
AB,ru,divan,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp52.wav,0.74853,1.26
AB,ru,divan,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp68.wav,0.73795,1.24
AB,ru,garage,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp12.wav,1.08199,1.77043
AB,ru,garage,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp35.wav,0.85,1.55
AB,ru,garage,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp47.wav,0.85502,1.51797
AB,ru,garage,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp55.wav,0.83445,1.49736
AB,ru,garage,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp66.wav,0.72,1.41082
AB,ru,garage,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp71.wav,0.72,1.35
AB,ru,hier,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp21.wav,1.09787,1.59
AB,ru,hier,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp30.wav,1.06,1.51997
AB,ru,hier,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp4.wav,1.42,2.02342
AB,ru,hier,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp43.wav,0.97,1.5135
AB,ru,hier,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp63.wav,0.95521,1.44456
AB,ru,hier,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp76.wav,0.9207,1.42497
AB,ru,j'en chie,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp1.wav,1.62,2.5
AB,ru,j'en chie,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp18.wav,1.12696,1.87204
AB,ru,j'en chie,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp28.wav,1.03,1.76122
AB,ru,j'en chie,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp49.wav,0.93755,1.76
AB,ru,j'en chie,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp54.wav,0.89,1.67
AB,ru,j'en chie,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp72.wav,0.61763,1.44882
AB,ru,juxtaposer,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp10.wav,1.36695,2.44606
AB,ru,juxtaposer,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp36.wav,1.00043,1.97
AB,ru,juxtaposer,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp46.wav,0.89486,1.83339
AB,ru,juxtaposer,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp61.wav,0.89099,1.83823
AB,ru,juxtaposer,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp70.wav,0.77481,1.67502
AB,ru,juxtaposer,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp73.wav,0.74,1.68878
AB,ru,louche,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp17.wav,1.24882,1.73
AB,ru,louche,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp27.wav,1.12065,1.57557
AB,ru,louche,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp40.wav,1.06,1.52656
AB,ru,louche,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp62.wav,1.046,1.48974
AB,ru,louche,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp65.wav,0.73535,1.20316
AB,ru,louche,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp7.wav,1.14614,1.67
AB,ru,pas ceux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp11.wav,1.50438,2.14057
AB,ru,pas ceux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp19.wav,1.23,1.84689
AB,ru,pas ceux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp25.wav,1.27163,1.89217
AB,ru,pas ceux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp39.wav,0.92,1.6259
AB,ru,pas ceux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp56.wav,1.0317,1.625
AB,ru,pas ceux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp74.wav,0.64825,1.29234
AB,ru,pour gabriel,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp22.wav,1.19,2.15
AB,ru,pour gabriel,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp33.wav,1.11,2.07
AB,ru,pour gabriel,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp48.wav,0.94,1.95177
AB,ru,pour gabriel,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp6.wav,1.27,2.22607
